2018-12-02 18:06:19 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2018-12-02 18:06:19 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2018-12-02 18:06:19 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2018-12-02 18:06:19 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2018-12-02 18:06:19 INFO  Version:46 - HHH000412: Hibernate Core {5.3.7.Final}
2018-12-02 18:06:19 INFO  Environment:213 - HHH000206: hibernate.properties not found
2018-12-02 18:06:19 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2018-12-02 18:06:19 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2018-12-02 18:06:19 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2018-12-02 18:06:19 DEBUG Configuration:722 - Building session factory using internal StandardServiceRegistryBuilder
2018-12-02 18:06:19 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2018-12-02 18:06:19 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2018-12-02 18:06:19 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2018-12-02 18:06:19 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2018-12-02 18:06:19 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2018-12-02 18:06:20 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@294425a7
2018-12-02 18:06:20 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@294425a7
2018-12-02 18:06:20 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@294425a7
2018-12-02 18:06:20 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@7ec7ffd3
2018-12-02 18:06:20 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6b81ce95
2018-12-02 18:06:20 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@52bf72b5
